"ISSN" "titulo" "estrato" "ISSN2"
"309" "1982-3908" "ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (ONLINE)" "B5" "19823908"
"310" "0101-9759" "ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO)" "B5" "01019759"
"311" "2178-1370" "ANUÁRIO DO PARÁ" "C" "21781370"
"312" "2041-2851" "AOB PLANTS" "A2" "20412851"
"313" "2041-2851" "AOB PLANTS" "A2" "20412851"
"314" "0044-8435" "APIDOLOGIE (CELLE)" "A2" "00448435"
"315" "1297-9678" "APIDOLOGIE (ONLINE)" "A2" "12979678"
"316" "2168-0450" "APPLICATIONS IN PLANT SCIENCES" "B2" "21680450"
"317" "0003-682X" "APPLIED ACOUSTICS" "B1" "0003682X"
"318" "1098-5336" "APPLIED AND ENVIRONMENTAL MICROBIOLOGY (ONLINE)" "A2" "10985336"
"319" "0099-2240" "APPLIED AND ENVIRONMENTAL MICROBIOLOGY (PRINT)" "A2" "00992240"
"320" "0168-1591" "APPLIED ANIMAL BEHAVIOUR SCIENCE (PRINT)" "B2" "01681591"
"321" "0273-2289" "APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY" "B2" "02732289"
"322" "1559-0291" "APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY (ONLINE)" "B2" "15590291"
"323" "1785-0037" "APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH" "B2" "17850037"
"324" "1589-1623" "APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH (PRINT)" "B2" "15891623"
"325" "2328-3912" "APPLIED ECOLOGY AND ENVIRONMENTAL SCIENCES (PRINT)" "C" "23283912"
"326" "0306-2619" "APPLIED ENERGY" "A2" "03062619"
"327" "0883-2927" "APPLIED GEOCHEMISTRY" "A2" "08832927"
"328" "0143-6228" "APPLIED GEOGRAPHY (SEVENOAKS)" "B1" "01436228"
"329" "2152-7385" "APPLIED MATHEMATICS" "C" "21527385"
"330" "2152-7393" "APPLIED MATHEMATICS" "C" "21527393"
"331" "1687-1200" "APPLIED MATHEMATICS RESEARCH EXPRESS (PRINT)" "B3" "16871200"
"332" "0175-7598" "APPLIED MICROBIOLOGY AND BIOTECHNOLOGY" "A2" "01757598"
"333" "1432-0614" "APPLIED MICROBIOLOGY AND BIOTECHNOLOGY" "A2" "14320614"
"334" "0969-8043" "APPLIED RADIATION AND ISOTOPES" "B2" "09698043"
"335" "2359-4721" "APPLIED RESEARCH IN TOXICOLOGY" "C" "23594721"
"336" "2076-3417" "APPLIED SCIENCES" "B4" "20763417"
"337" "0929-1393" "APPLIED SOIL ECOLOGY (PRINT)" "A2" "09291393"
"338" "0169-4332" "APPLIED SURFACE SCIENCE" "B1" "01694332"
"339" "1359-4311" "APPLIED THERMAL ENGINEERING" "B1" "13594311"
"340" "1402-2001" "APPLIED VEGETATION SCIENCE" "A2" "14022001"
"341" "1654-109X" "APPLIED VEGETATION SCIENCE (ONLINE)" "A2" "1654109X"
"342" "2237-8766" "APRENDENDO CIÊNCIA" "C" "22378766"
"343" "2153-0297" "APS FEATURE ARTICLES" "C" "21530297"
"344" "0945-9871" "AQUA (NEU-ISENBURG)" "C" "09459871"
"345" "0144-8609" "AQUACULTURAL ENGINEERING" "B1" "01448609"
"346" "0044-8486" "AQUACULTURE (AMSTERDAM)" "A1" "00448486"
"347" "1844-9166" "AQUACULTURE, AQUARIUM, CONSERVATION & LEGISLATION" "B4" "18449166"
"348" "1365-7305" "AQUACULTURE ECONOMICS & MANAGEMENT (PRINT)" "B2" "13657305"
"349" "0967-6120" "AQUACULTURE INTERNATIONAL" "B1" "09676120"
"350" "1365-2095" "AQUACULTURE NUTRITION" "B1" "13652095"
"351" "1365-2095" "AQUACULTURE NUTRITION (ONLINE)" "B1" "13652095"
"352" "2352-5134" "AQUACULTURE REPORTS" "C" "23525134"
"353" "1365-2109" "AQUACULTURE RESEARCH" "B1" "13652109"
"354" "1365-2109" "AQUACULTURE RESEARCH (ONLINE)" "B1" "13652109"
"355" "1365-2109" "AQUACULTURE RESEARCH (PRINT)" "B1" "13652109"
"356" "1864-7790" "AQUATIC BIOLOGY (INTERNET)" "B2" "18647790"
"357" "1864-7782" "AQUATIC BIOLOGY (PRINT)" "B2" "18647782"
"358" "2046-9063" "AQUATIC BIOSYSTEMS" "B1" "20469063"
"359" "0304-3770" "AQUATIC BOTANY" "B1" "03043770"
"360" "1099-0755" "AQUATIC CONSERVATION" "A2" "10990755"
"361" "1099-0755" "AQUATIC CONSERVATION (ONLINE)" "A2" "10990755"
"362" "1052-7613" "AQUATIC CONSERVATION (PRINT)" "A2" "10527613"
"363" "1386-2588" "AQUATIC ECOLOGY" "B1" "13862588"
"364" "1573-5125" "AQUATIC ECOLOGY (DORDRECHT. ONLINE)" "B1" "15735125"
"365" "1386-2588" "AQUATIC ECOLOGY (PRINT)" "B1" "13862588"
"366" "1380-6165" "AQUATIC GEOCHEMISTRY" "B2" "13806165"
"367" "1573-1421" "AQUATIC GEOCHEMISTRY (DORDRECHT. ONLINE)" "B2" "15731421"
"368" "0165-0424" "AQUATIC INSECTS (PRINT)" "B3" "01650424"
"369" "1818-5487" "AQUATIC INVASIONS" "B1" "18185487"
"370" "0990-7440" "AQUATIC LIVING RESOURCES" "B1" "09907440"
"371" "0167-5427" "AQUATIC MAMMALS" "B2" "01675427"
"372" "0948-3055" "AQUATIC MICROBIAL ECOLOGY" "A2" "09483055"
"373" "2168-9148" "AQUATIC SCIENCE AND TECHNOLOGY" "C" "21689148"
"374" "1015-1621" "AQUATIC SCIENCES (PRINTED ED.)" "A2" "10151621"
"375" "0166-445X" "AQUATIC TOXICOLOGY" "A1" "0166445X"
"376" "1878-5352" "ARABIAN JOURNAL OF CHEMISTRY" "B2" "18785352"
"377" "0103-5657" "ARARAJUBA (RIO DE JANEIRO)" "B3" "01035657"
"378" "2178-7875" "ARARAJUBA (RIO DE JANEIRO)" "B3" "21787875"
"379" "1472-3646" "ARCHAEA" "C" "14723646"
"380" "0003-9136" "ARCHIV FÜR HYDROBIOLOGIE" "B1" "00039136"
"381" "1869-0963" "ARCHIV FUR MOLLUSKENKUNDE (2004)" "B2" "18690963"
"382" "0003-9438" "ARCHIV FUR TIERZUCHT / ARCHIVES OF ANIMAL BREEDING" "B2" "00039438"
"383" "1432-072X" "ARCHIVES IN MICROBIOLOGY" "B2" "1432072X"
"384" "0365-0340" "ARCHIVES OF AGRONOMY AND SOIL SCIENCE" "B2" "03650340"
"385" "0340-3696" "ARCHIVES OF DERMATOLOGICAL RESEARCH (PRINT)" "B1" "03403696"
"386" "1432-0703" "ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY" "B1" "14320703"
"387" "0090-4341" "ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY (PRINT)" "B1" "00904341"
"388" "0932-0067" "ARCHIVES OF GYNECOLOGY AND OBSTETRICS" "B2" "09320067"
"389" "0739-4462" "ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY" "B1" "07394462"
"390" "0302-8933" "ARCHIVES OF MICROBIOLOGY" "B2" "03028933"
"391" "0003-9969" "ARCHIVES OF ORAL BIOLOGY" "B1" "00039969"
"392" "1517-784X" "ARCHIVES OF VETERINARY SCIENCE" "B4" "1517784X"
"393" "0304-8608" "ARCHIVES OF VIROLOGY" "B2" "03048608"
"394" "0301-732X" "ARCHIVOS DE MEDICINA VETERINARIA (IMPRESA)" "B3" "0301732X"
"395" "0004-0592" "ARCHIVOS DE ZOOTECNIA" "B4" "00040592"
"396" "0004-0592" "ARCHIVOS DE ZOOTECNIA (INTERNET)" "B4" "00040592"
"397" "0131-1379" "ARCTOA" "C" "01311379"
"398" "0570-7358" "ARDEOLA (MADRID)" "B2" "05707358"
"399" "1984-7505" "ARETÉ (MANAUS)" "C" "19847505"
"400" "1061-8503" "ARGIA" "C" "10618503"
"401" "0325-4194" "ARGOS (BUENOS AIRES)" "C" "03254194"
"402" "1806-5627" "ARGUMENTOS (UNIMONTES)" "C" "18065627"
"403" "1551-7004" "ARKIVOC" "B3" "15517004"
"404" "0197-4033" "AROIDEANA" "C" "01974033"
"405" "0873-4704" "ARQUIPELAGO LIFE AND MARINE SCIENCES" "C" "08734704"
"406" "0102-0935" "ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA" "B4" "01020935"
"407" "1678-4162" "ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)" "B4" "16784162"
"408" "1519-9940" "ARQUIVOS DA ESCOLA DE MEDICINA VETERINARIA DA UNIVERSIDADE FEDERAL DA BAHIA (CESSOU EM 1998. CONT. ISSN 1519-9940 REVISTA BRASILEIRA DE SAÚDE E PRODUÇO ANIMAL)" "B4" "15199940"
"409" "1415-076X" "ARQUIVOS DE CIÊNCIAS DA SAÚDE DA UNIPAR (IMPRESSO)" "C" "1415076X"
"410" "0374-5686" "ARQUIVOS DE CIÊNCIAS DO MAR" "C" "03745686"
"411" "1415-8167" "ARQUIVOS DE CIÊNCIAS VETERINÁRIAS E ZOOLOGIA DA UNIPAR" "C" "14158167"
"412" "1982-1131" "ARQUIVOS DE CIÊNCIAS VETERINÁRIAS E ZOOLOGIA DA UNIPAR" "C" "19821131"
"413" "1415-8167" "ARQUIVOS DE CIÊNCIAS VETERINÁRIAS E ZOOLOGIA DA UNIPAR (IMPRESSO)" "C" "14158167"
"414" "0066-7870" "ARQUIVOS DE ZOOLOGIA" "C" "00667870"
"415" "0020-3653" "ARQUIVOS DO INSTITUTO BIOLÓGICO (IMPRESSO)" "B5" "00203653"
"416" "1808-1657" "ARQUIVOS DO INSTITUTO BIOLÓGICO (ONLINE)" "B5" "18081657"
"417" "1980-959X" "ARQUIVOS DO MUDI" "C" "1980959X"
"418" "0365-4508" "ARQUIVOS DO MUSEU NACIONAL" "C" "03654508"
"419" "0004-2927" "ARS PHARMACEUTICA" "B5" "00042927"
"420" "0001-2343" "ARSP. ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE" "B5" "00012343"
"421" "1079-5642" "ARTERIOSCLEROSIS, THROMBOSIS, AND VASCULAR BIOLOGY" "A2" "10795642"
"422" "1467-8039" "ARTHROPOD STRUCTURE & DEVELOPMENT" "A2" "14678039"
"423" "1863-7221" "ARTHROPOD SYSTEMATICS & PHYLOGENY" "A2" "18637221"
"424" "1872-8855" "ARTHROPOD-PLANT INTERACTIONS" "B1" "18728855"
"425" "1872-8847" "ARTHROPOD-PLANT INTERACTIONS (ONLINE)" "B1" "18728847"
"426" "1872-8855" "ARTHROPOD-PLANT INTERACTIONS (PRINT)" "B1" "18728855"
"427" "1008-682X" "ASIAN JOURNAL OF ANDROLOGY" "B1" "1008682X"
"428" "1996-0700" "ASIAN JOURNAL OF BIOTECHNOLOGY" "C" "19960700"
"429" "2305-0500" "ASIAN PACIFIC JOUNAL OF REPRODUCTION" "B5" "23050500"
"430" "2221-1691" "ASIAN PACIFIC JOURNAL OF TROPICAL BIOMEDICINE" "B2" "22211691"
"431" "1531-1074" "ASTROBIOLOGY (LARCHMONT)" "B1" "15311074"
"432" "2357-7614" "ATAS DE SAÚDE AMBIENTAL" "C" "23577614"
"433" "2241-8466" "ATHENS JOURNAL OF SCIENCES" "C" "22418466"
"434" "0102-1656" "ATLÂNTICA" "C" "01021656"
"435" "2160-0414" "ATMOSPHERIC AND CLIMATE SCIENCE (PRINT)" "C" "21600414"
"436" "1680-7375" "ATMOSPHERIC CHEMISTRY AND PHYSICS DISCUSSION (ONLINE)" "C" "16807375"
"437" "1680-7324" "ATMOSPHERIC CHEMISTRY AND PHYSICS (ONLINE)" "A1" "16807324"
"438" "1352-2310" "ATMOSPHERIC ENVIRONMENT" "A2" "13522310"
"439" "1352-2310" "ATMOSPHERIC ENVIRONMENT (1994)" "A2" "13522310"
"440" "1309-1042" "ATMOSPHERIC POLLUTION RESEARCH" "B3" "13091042"
"441" "0169-8095" "ATMOSPHERIC RESEARCH (PRINT)" "B1" "01698095"
"442" "1809-0354" "ATOS DE PESQUISA EM EDUCAÇO (FURB)" "C" "18090354"
"443" "0104-2386" "ATUALIDADES ORNITOLÓGICAS" "C" "01042386"
"444" "0104-2386" "ATUALIDADES ORNITOLÓGICAS (IMPRESSO)" "C" "01042386"
"445" "1981-8874" "ATUALIDADES ORNITOLÓGICAS (ONLINE)" "C" "19818874"
"446" "1442-9993" "AUSTRAL ECOLOGY" "B1" "14429993"
"447" "1442-9985" "AUSTRAL ECOLOGY" "B1" "14429985"
"448" "1442-9985" "AUSTRAL ECOLOGY (PRINT)" "B1" "14429985"
"449" "2052-1758" "AUSTRAL ENTOMOLOGY" "B1" "20521758"
"450" "0815-3191" "AUSTRALASIAN PLANT PATHOLOGY" "B1" "08153191"
"451" "1991-8178" "AUSTRALIAN JOURNAL OF BASIC AND APPLIED SCIENCES" "B3" "19918178"
"452" "1991-8178" "AUSTRALIAN JOURNAL OF BASIC AND APPLIED SCIENCES" "B3" "19918178"
"453" "0067-1924" "AUSTRALIAN JOURNAL OF BOTANY (PRINT)" "B1" "00671924"
"454" "1835-2693" "AUSTRALIAN JOURNAL OF CROP SCIENCE" "B3" "18352693"
"455" "1835-2707" "AUSTRALIAN JOURNAL OF CROP SCIENCE (ONLINE)" "B3" "18352707"
"456" "1326-6756" "AUSTRALIAN JOURNAL OF ENTOMOLOGY (PRINT)" "B1" "13266756"
"457" "1030-1887" "AUSTRALIAN SYSTEMATIC BOTANY" "B2" "10301887"
"458" "0891-6934" "AUTOIMMUNITY (AMSTERDAM. PRINT)" "B1" "08916934"
"459" "0307-9457" "AVIAN PATHOLOGY" "B1" "03079457"
"460" "2228-7949" "AVICENNA JOURNAL OF PHYTOMEDICINE" "C" "22287949"
"461" "1414-2368" "BAHIA AGRÍCOLA" "C" "14142368"
"462" "1808-2688" "BALDUINIA (UFSM)" "C" "18082688"
"463" "1742-7835" "BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY (PRINT)" "B1" "17427835"
"464" "1439-1791" "BASIC AND APPLIED ECOLOGY (PRINT)" "B1" "14391791"
"465" "2316-5200" "BBR - BIOCHEMISTRY AND BIOTECHNOLOGY REPORTS" "C" "23165200"
"466" "1981-5514" "BDM (SO PAULO. IMPRESSO)" "C" "19815514"
"467" "0005-772X" "BEE WORLD" "C" "0005772X"
"468" "1045-2249" "BEHAVIORAL ECOLOGY" "A1" "10452249"
"469" "0340-5443" "BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY (PRINT)" "A1" "03405443"
"470" "1568-539X" "BEHAVIOUR" "B1" "1568539X"
"471" "0005-7959" "BEHAVIOUR (LEIDEN. PRINT)" "B1" "00057959"
"472" "0166-4328" "BEHAVIOURAL BRAIN RESEARCH" "B1" "01664328"
"473" "0955-8810" "BEHAVIOURAL PHARMACOLOGY" "B2" "09558810"
"474" "0376-6357" "BEHAVIOURAL PROCESSES (PRINT)" "B1" "03766357"
"475" "0005-805X" "BEITRÄGE ZUR ENTOMOLOGIE" "C" "0005805X"
"476" "1811-8712" "BGCI" "C" "18118712"
"477" "1138-9796" "BIBLIO3W" "C" "11389796"
"478" "0952-4622" "BIOACOUSTICS (BERKHAMSTED)" "B1" "09524622"
"479" "1316-3361" "BIOAGRO" "B5" "13163361"
"480" "1809-8460" "BIOASSAY (PIRACICABA)" "C" "18098460"
"481" "1878-8181" "BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY" "B3" "18788181"
"482" "1878-8181" "BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY" "B3" "18788181"
"483" "1024-2422" "BIOCATALYSIS AND BIOTRANSFORMATION (PRINT)" "B3" "10242422"
"484" "0327-9545" "BIOCELL (MENDOZA)" "B3" "03279545"
"485" "0006-291X" "BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS (PRINT)" "B2" "0006291X"
"486" "1369-703X" "BIOCHEMICAL ENGINEERING JOURNAL" "B1" "1369703X"
"487" "0264-6021" "BIOCHEMICAL JOURNAL (LONDON. 1984)" "B1" "02646021"
"488" "0305-1978" "BIOCHEMICAL SYSTEMATICS AND ECOLOGY" "B1" "03051978"
"489" "1470-8175" "BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION" "B4" "14708175"
"490" "0006-2960" "BIOCHEMISTRY (EASTON)" "B1" "00062960"
"491" "0005-2728" "BIOCHIMICA ET BIOPHYSICA ACTA. BIOENERGETICS" "A2" "00052728"
"492" "0005-2736" "BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES" "B1" "00052736"
"493" "0304-4165" "BIOCHIMICA ET BIOPHYSICA ACTA. G, GENERAL SUBJECTS (PRINT)" "A2" "03044165"
"494" "1570-9639" "BIOCHIMICA ET BIOPHYSICA ACTA. PROTEINS AND PROTEOMICS" "B1" "15709639"
"495" "2214-0085" "BIOCHIMIE OPEN" "C" "22140085"
"496" "0300-9084" "BIOCHIMIE (PARIS. PRINT)" "B2" "03009084"
"497" "1386-6141" "BIOCONTROL (DORDRECHT)" "A2" "13866141"
"498" "0958-3157" "BIOCONTROL SCIENCE AND TECHNOLOGY (PRINT)" "B1" "09583157"
"499" "2177-1332" "BIODIVERSIDADE" "C" "21771332"
"500" "2236-2886" "BIODIVERSIDADE BRASILEIRA" "C" "22362886"
"501" "2236-2886" "BIODIVERSIDADE BRASILEIRA" "C" "22362886"
"502" "1677-874X" "BIODIVERSIDADE (UFMT. IMPRESSO)" "C" "1677874X"
"503" "0960-3115" "BIODIVERSITY AND CONSERVATION" "A1" "09603115"
"504" "1572-9710" "BIODIVERSITY AND CONSERVATION (DORDRECHT. ONLINE)" "A1" "15729710"
"505" "1314-2828" "BIODIVERSITY DATA JOURNAL" "C" "13142828"
"506" "1546-9735" "BIODIVERSITY INFORMATICS" "C" "15469735"
"507" "2039-0394" "BIODIVERSITY JOURNAL" "C" "20390394"
"508" "1939-1234" "BIOENERGY RESEARCH" "B2" "19391234"
"509" "0265-9247" "BIOESSAYS (CAMBRIDGE)" "A2" "02659247"
"510" "1983-4209" "BIOFAR - REVSITA DE BIOLOGIA E FARMÁCIA" "C" "19834209"
"511" "1983-4209" "BIOFAR: REVISTA DE BIOLOGIA E FARMÁCIA" "C" "19834209"
"512" "0168-2563" "BIOGEOCHEMISTRY (DORDRECHT)" "A2" "01682563"
"513" "2151-0466" "BIOGEOGRAFIÍA (AZORES)" "C" "21510466"
"514" "1726-4189" "BIOGEOSCIENCES" "A2" "17264189"
"515" "1810-6285" "BIOGEOSCIENCES DISCUSSION (ONLINE)" "B5" "18106285"
"516" "1810-6277" "BIOGEOSCIENCES DISCUSSIONS (PRINT)" "B5" "18106277"
"517" "1726-4170" "BIOGEOSCIENCES (KATLENBURG-LINDAU. PRINT)" "A2" "17264170"
"518" "0102-9568" "BIOIKOS (CAMPINAS)" "C" "01029568"
"519" "0973-8894" "BIOINFORMATION PRINT" "C" "09738894"
"520" "2242-1300" "BIOINVASIONS RECORDS" "C" "22421300"
"521" "0006-3088" "BIOLOGIA (BRATISLAVA)" "B3" "00063088"
"522" "1519-1982" "BIOLOGIA GERAL E EXPERIMENTAL (IMPRESSO)" "C" "15191982"
"523" "1573-8264" "BIOLOGIA PLANTARUM" "B1" "15738264"
"524" "0006-3134" "BIOLOGIA PLANTARUM (PRAHA)" "B1" "00063134"
"525" "0144-8765" "BIOLOGICAL AGRICULTURE & HORTICULTURE" "B2" "01448765"
"526" "0006-3207" "BIOLOGICAL CONSERVATION" "A1" "00063207"
"527" "1049-9644" "BIOLOGICAL CONTROL (PRINT)" "A2" "10499644"
"528" "1387-3547" "BIOLOGICAL INVASIONS" "A1" "13873547"
"529" "1573-1464" "BIOLOGICAL INVASIONS (DORDRECHT. ONLINE)" "A1" "15731464"
"530" "0024-4066" "BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY" "A1" "00244066"
"531" "0716-9760" "BIOLOGICAL RESEARCH (PRINT)" "B2" "07169760"
"532" "1464-7931" "BIOLOGICAL REVIEWS" "A1" "14647931"
"533" "1469-185X" "BIOLOGICAL REVIEWS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY (ONLINE)" "A1" "1469185X"
"534" "0929-1016" "BIOLOGICAL RHYTHM RESEARCH" "B3" "09291016"
"535" "0953-5365" "BIOLOGICAL SCIENCES REVIEW" "C" "09535365"
"536" "2329-6577" "BIOLOGICAL SYSTEMS: OPEN ACCESS" "C" "23296577"
"537" "1555-5542" "BIOLOGICAL THEORY: INTEGRATING DEVELOPMENT, EVOLUTION & COGNITION" "C" "15555542"
"538" "0163-4984" "BIOLOGICAL TRACE ELEMENT RESEARCH" "B2" "01634984"
"539" "0169-3867" "BIOLOGY & PHILOSOPHY (PRINT)" "B2" "01693867"
"540" "0178-2762" "BIOLOGY AND FERTILITY OF SOILS (PRINT)" "A2" "01782762"
"541" "1745-6150" "BIOLOGY DIRECT" "B1" "17456150"
"542" "0253-2069" "BIOLOGY INTERNATIONAL" "C" "02532069"
"543" "1744-9561" "BIOLOGY LETTERS (PRINT)" "A2" "17449561"
"544" "1083-8791" "BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION" "A2" "10838791"
"545" "0006-3363" "BIOLOGY OF REPRODUCTION" "A2" "00063363"
"546" "1529-7268" "BIOLOGY OF REPRODUCTION (ONLINE)" "A2" "15297268"
"547" "2046-6390" "BIOLOGY OPEN" "A2" "20466390"
"548" "0961-9534" "BIOMASS & BIOENERGY" "A2" "09619534"
"549" "1679-365X" "BIOMATEMÁTICA (UNICAMP)" "C" "1679365X"
"550" "1314-7218" "BIOMATH" "C" "13147218"
"551" "2314-6141" "BIOMED RESEARCH INTERNATIONAL" "B2" "23146141"
"552" "2314-6133" "BIOMED RESEARCH INTERNATIONAL" "B2" "23146133"
"553" "0120-4157" "BIOMÉDICA (BOGOTÁ)" "B3" "01204157"
"554" "2057-1976" "BIOMEDICAL PHYSICS & ENGINEERING EXPRESS" "C" "20571976"
"555" "0753-3322" "BIOMEDICINE & PHARMACOTHERAPY" "B2" "07533322"
"556" "2210-5239" "BIOMEDICINE & PREVENTIVE NUTRITION" "B4" "22105239"
"557" "0966-0844" "BIOMETALS (OXFORD)" "B2" "09660844"
"558" "0960-894X" "BIOORGANIC & MEDICINAL CHEMISTRY LETTERS (PRINT)" "B2" "0960894X"
"559" "0968-0896" "BIOORGANIC & MEDICINAL CHEMISTRY (PRINT)" "B1" "09680896"
"560" "0006-3525" "BIOPOLYMERS (NEW YORK. PRINT)" "B2" "00063525"
"561" "1615-7605" "BIOPROCESS AND BIOSYSTEMS ENGINEERING (INTERNET)" "B2" "16157605"
"562" "1615-7591" "BIOPROCESS AND BIOSYSTEMS ENGINEERING (PRINT)" "B2" "16157591"
"563" "2331-8325" "BIO-PROTOCOL" "C" "23318325"
"564" "1088-9868" "BIOREMEDIATION JOURNAL" "B3" "10889868"
"565" "0960-8524" "BIORESOURCE TECHNOLOGY" "A1" "09608524"
"566" "1930-2126" "BIORESOURCES (RALEIGH, N.C)" "B2" "19302126"
"567" "1525-3244" "BIOSCIENCE" "A1" "15253244"
"568" "0916-8451" "BIOSCIENCE, BIOTECHNOLOGY, AND BIOCHEMISTRY" "B2" "09168451"
"569" "1516-3725" "BIOSCIENCE JOURNAL" "B4" "15163725"
"570" "1981-3163" "BIOSCIENCE JOURNAL (ONLINE)" "B4" "19813163"
"571" "1516-3725" "BIOSCIENCE JOURNAL (UFU)" "B4" "15163725"
"572" "1516-3725" "BIOSCIENCE JOURNAL (UFU. IMPRESSO)" "B4" "15163725"
"573" "0006-3568" "BIOSCIENCE (WASHINGTON. PRINT)" "A1" "00063568"
"574" "0956-5663" "BIOSENSORS & BIOELECTRONICS" "A1" "09565663"
"575" "2179-5746" "BIOTA AMAZÔNIA" "C" "21795746"
"576" "2179-5746" "BIOTA AMAZÔNIA" "C" "21795746"
"577" "0124-5376" "BIOTA COLOMBIA" "C" "01245376"
"578" "0124-5376" "BIOTA COLOMBIANA" "C" "01245376"
"579" "1676-0603" "BIOTA NEOPROPICA (EDIÇO EM PORTUGUÊS. ONLINE)" "B2" "16760603"
"580" "1678-6424" "BIOTA NEOTROPICA" "B2" "16786424"
"581" "1676-0603" "BIOTA NEOTROPICA (ED. PORTUGUESA)" "B2" "16760603"
"582" "1678-6424" "BIOTA NEOTROPICA (EDIÇO EM PORTUGUÊS. IMPRESSO)" "B2" "16786424"
"583" "1676-0603" "BIOTA NEOTROPICA (EDIÇO EM PORTUGUÊS. ONLINE)" "B2" "16760603"
"584" "1676-0611" "BIOTA NEOTROPICA (ENGLISH ED.)" "B2" "16760611"
"585" "1676-0611" "BIOTA NEOTROPICA (ONLINE. EDIÇO EM INGLÊS)" "B2" "16760611"
"586" "1754-6834" "BIOTECHNOLOGY FOR BIOFUELS" "B1" "17546834"
"587" "0141-5492" "BIOTECHNOLOGY LETTERS" "B2" "01415492"
"588" "8756-7938" "BIOTECHNOLOGY PROGRESS (PRINT)" "B1" "87567938"
"589" "2215-017X" "BIOTECHNOLOGY REPORTS" "C" "2215017X"
"590" "2074-8647" "BIOTECNOLOGÍA VEGETAL" "C" "20748647"
"591" "2175-7925" "BIOTEMAS" "C" "21757925"
"592" "2175-7925" "BIOTEMAS" "C" "21757925"
"593" "0103-1643" "BIOTEMAS (UFSC)" "C" "01031643"
"594" "1744-7429" "BIOTROPICA" "B1" "17447429"
"595" "0006-3606" "BIOTROPICA (LAWRENCE, KS)" "B1" "00063606"
"596" "0959-2709" "BIRD CONSERVATION INTERNATIONAL" "B1" "09592709"
"597" "1542-9733" "BIRTH DEFECTS RESEARCH. PART B. DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY" "B3" "15429733"
"598" "0006-4971" "BLOOD (PHILADELPHIA, PA)" "A1" "00064971"
"599" "2163-3886" "BLUE BIOTECHNOLOGY JOURNAL" "C" "21633886"
"600" "0006-5196" "BLUMEA (LEIDEN)" "B2" "00065196"
"601" "1471-2105" "BMC BIOINFORMATICS" "B2" "14712105"
"602" "1472-6882" "BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE (ONLINE)" "B1" "14726882"
"603" "1471-213X" "BMC DEVELOPMENTAL BIOLOGY (ONLINE)" "B2" "1471213X"
"604" "1471-2148" "BMC EVOLUTIONARY BIOLOGY (ONLINE)" "A2" "14712148"
"605" "1471-230X" "BMC GASTROENTEROLOGY (ONLINE)" "B2" "1471230X"
"606" "1471-2156" "BMC GENETICS (ONLINE)" "B2" "14712156"
"607" "1471-2164" "BMC GENOMICS" "A2" "14712164"
"608" "1471-2164" "BMC GENOMICS" "A2" "14712164"
"609" "1471-2334" "BMC INFECTIOUS DISEASES (ONLINE)" "B1" "14712334"
"610" "1472-698X" "BMC INTERNATIONAL HEALTH AND HUMAN RIGHTS (ONLINE)" "B2" "1472698X"
"611" "1471-2350" "BMC MEDICAL GENETICS (ONLINE)" "B2" "14712350"
"612" "1471-2180" "BMC MICROBIOLOGY (ONLINE)" "B1" "14712180"
"613" "1472-6793" "BMC PHYSIOLOGY (ONLINE)" "B2" "14726793"
"614" "1471-2229" "BMC PLANT BIOLOGY (ONLINE)" "A1" "14712229"
"615" "1753-6561" "BMC PROCEEDINGS" "B4" "17536561"
"616" "1756-0500" "BMC RESEARCH NOTES" "B3" "17560500"
"617" "1746-6148" "BMC VETERINARY RESEARCH" "B2" "17466148"
"618" "0006-579X" "BOIS ET FORÊTS DES TROPIQUES" "B5" "0006579X"
"619" "0373-2975" "BOISSIERA" "B5" "03732975"
"620" "1519-0021" "BOLETIM - SOCIEDADE BRASILEIRA DE ICTIOLOGIA (IMPRESSO)" "C" "15190021"
